date,temp_celsius,location,latitude,longitude
2016-04-22,7.4,Better_Zone_1,56.7,16.5
2016-04-23,4.8,Better_Zone_1,56.7,16.5
2016-04-24,4.1,Better_Zone_1,56.7,16.5
2016-04-25,3.4,Better_Zone_1,56.7,16.5
2016-04-26,5.0,Better_Zone_1,56.7,16.5
2016-04-27,4.9,Better_Zone_1,56.7,16.5
2016-04-28,5.7,Better_Zone_1,56.7,16.5
2016-04-29,6.4,Better_Zone_1,56.7,16.5
2016-04-30,7.3,Better_Zone_1,56.7,16.5
2016-05-01,7.9,Better_Zone_1,56.7,16.5
2016-05-02,8.9,Better_Zone_1,56.7,16.5
2016-05-03,9.0,Better_Zone_1,56.7,16.5
2016-05-04,10.1,Better_Zone_1,56.7,16.5
2016-05-05,10.4,Better_Zone_1,56.7,16.5
2016-05-06,11.0,Better_Zone_1,56.7,16.5
2016-05-07,11.1,Better_Zone_1,56.7,16.5
2016-05-08,12.4,Better_Zone_1,56.7,16.5
2016-05-09,13.3,Better_Zone_1,56.7,16.5
2016-05-10,13.9,Better_Zone_1,56.7,16.5
2016-05-11,11.7,Better_Zone_1,56.7,16.5
2016-05-12,10.7,Better_Zone_1,56.7,16.5
2016-05-13,10.6,Better_Zone_1,56.7,16.5
2016-05-14,9.9,Better_Zone_1,56.7,16.5
2016-05-15,7.6,Better_Zone_1,56.7,16.5
2016-05-16,7.6,Better_Zone_1,56.7,16.5
2016-05-17,9.2,Better_Zone_1,56.7,16.5
2016-05-18,10.2,Better_Zone_1,56.7,16.5
2016-05-19,10.7,Better_Zone_1,56.7,16.5
2016-05-20,12.3,Better_Zone_1,56.7,16.5
2016-05-21,12.9,Better_Zone_1,56.7,16.5
2016-05-22,13.4,Better_Zone_1,56.7,16.5
2016-05-23,15.1,Better_Zone_1,56.7,16.5
2016-05-24,14.7,Better_Zone_1,56.7,16.5
2016-05-25,12.4,Better_Zone_1,56.7,16.5
2016-05-26,13.2,Better_Zone_1,56.7,16.5
2016-05-27,12.2,Better_Zone_1,56.7,16.5
2016-05-28,12.3,Better_Zone_1,56.7,16.5
2016-05-29,14.7,Better_Zone_1,56.7,16.5
2016-05-30,15.8,Better_Zone_1,56.7,16.5
2016-05-31,16.5,Better_Zone_1,56.7,16.5
2016-06-01,16.7,Better_Zone_1,56.7,16.5
2016-06-02,16.8,Better_Zone_1,56.7,16.5
2016-06-03,16.8,Better_Zone_1,56.7,16.5
2016-06-04,14.9,Better_Zone_1,56.7,16.5
2016-06-05,13.9,Better_Zone_1,56.7,16.5
2016-06-06,11.8,Better_Zone_1,56.7,16.5
2016-06-07,15.2,Better_Zone_1,56.7,16.5
2016-06-08,14.0,Better_Zone_1,56.7,16.5
2016-06-09,13.6,Better_Zone_1,56.7,16.5
2016-06-10,11.6,Better_Zone_1,56.7,16.5
2016-06-11,11.0,Better_Zone_1,56.7,16.5
2016-06-12,11.8,Better_Zone_1,56.7,16.5
2016-06-13,12.6,Better_Zone_1,56.7,16.5
2016-06-14,14.4,Better_Zone_1,56.7,16.5
2016-06-15,16.0,Better_Zone_1,56.7,16.5
2016-06-16,14.5,Better_Zone_1,56.7,16.5
2016-06-17,14.3,Better_Zone_1,56.7,16.5
2016-06-18,16.2,Better_Zone_1,56.7,16.5
2016-06-19,16.0,Better_Zone_1,56.7,16.5
2016-06-20,14.8,Better_Zone_1,56.7,16.5
2016-06-21,16.1,Better_Zone_1,56.7,16.5
2016-06-22,16.9,Better_Zone_1,56.7,16.5
2016-06-23,18.9,Better_Zone_1,56.7,16.5
2016-06-24,20.9,Better_Zone_1,56.7,16.5
2016-06-25,20.1,Better_Zone_1,56.7,16.5
2016-06-26,19.4,Better_Zone_1,56.7,16.5
2016-06-27,17.7,Better_Zone_1,56.7,16.5
2016-06-28,17.9,Better_Zone_1,56.7,16.5
2016-06-29,16.2,Better_Zone_1,56.7,16.5
2016-06-30,17.1,Better_Zone_1,56.7,16.5
2016-07-01,18.0,Better_Zone_1,56.7,16.5
2016-07-02,18.0,Better_Zone_1,56.7,16.5
2016-07-03,15.6,Better_Zone_1,56.7,16.5
2016-07-04,15.6,Better_Zone_1,56.7,16.5
2016-07-05,15.8,Better_Zone_1,56.7,16.5
2016-07-06,15.5,Better_Zone_1,56.7,16.5
2016-07-07,16.7,Better_Zone_1,56.7,16.5
2016-07-08,17.1,Better_Zone_1,56.7,16.5
2016-07-09,18.1,Better_Zone_1,56.7,16.5
2016-07-10,16.9,Better_Zone_1,56.7,16.5
2016-07-11,19.0,Better_Zone_1,56.7,16.5
2016-07-12,17.9,Better_Zone_1,56.7,16.5
2016-07-13,17.2,Better_Zone_1,56.7,16.5
2016-07-14,16.2,Better_Zone_1,56.7,16.5
2016-07-15,17.1,Better_Zone_1,56.7,16.5
2016-07-16,17.1,Better_Zone_1,56.7,16.5
2016-07-17,17.3,Better_Zone_1,56.7,16.5
2016-07-18,16.5,Better_Zone_1,56.7,16.5
2016-07-19,17.5,Better_Zone_1,56.7,16.5
2016-07-20,18.8,Better_Zone_1,56.7,16.5
2016-07-21,18.6,Better_Zone_1,56.7,16.5
2016-07-22,19.2,Better_Zone_1,56.7,16.5
2016-07-23,19.4,Better_Zone_1,56.7,16.5
2016-07-24,19.6,Better_Zone_1,56.7,16.5
2016-07-25,19.7,Better_Zone_1,56.7,16.5
2016-07-26,20.1,Better_Zone_1,56.7,16.5
2016-07-27,19.0,Better_Zone_1,56.7,16.5
2016-07-28,19.7,Better_Zone_1,56.7,16.5
2016-07-29,19.0,Better_Zone_1,56.7,16.5
2016-07-30,19.1,Better_Zone_1,56.7,16.5
2016-07-31,18.0,Better_Zone_1,56.7,16.5
2016-08-01,17.5,Better_Zone_1,56.7,16.5
2016-08-02,16.7,Better_Zone_1,56.7,16.5
2016-08-03,16.9,Better_Zone_1,56.7,16.5
2016-08-04,19.0,Better_Zone_1,56.7,16.5
2016-08-05,18.3,Better_Zone_1,56.7,16.5
2016-08-06,17.6,Better_Zone_1,56.7,16.5
2016-08-07,17.9,Better_Zone_1,56.7,16.5
2016-08-08,18.7,Better_Zone_1,56.7,16.5
2016-08-09,15.5,Better_Zone_1,56.7,16.5
2016-08-10,14.0,Better_Zone_1,56.7,16.5
2016-08-11,13.4,Better_Zone_1,56.7,16.5
2016-08-12,14.6,Better_Zone_1,56.7,16.5
2016-08-13,17.4,Better_Zone_1,56.7,16.5
2016-08-14,17.0,Better_Zone_1,56.7,16.5
2016-08-15,16.2,Better_Zone_1,56.7,16.5
2016-08-16,15.9,Better_Zone_1,56.7,16.5
2016-08-17,15.4,Better_Zone_1,56.7,16.5
2016-08-18,15.0,Better_Zone_1,56.7,16.5
2016-08-19,15.4,Better_Zone_1,56.7,16.5
2016-08-20,16.4,Better_Zone_1,56.7,16.5
2016-08-21,16.6,Better_Zone_1,56.7,16.5
2016-08-22,16.8,Better_Zone_1,56.7,16.5
2016-08-23,17.2,Better_Zone_1,56.7,16.5
2016-08-24,17.5,Better_Zone_1,56.7,16.5
2016-08-25,18.6,Better_Zone_1,56.7,16.5
2016-08-26,20.1,Better_Zone_1,56.7,16.5
2016-08-27,18.6,Better_Zone_1,56.7,16.5
2016-08-28,16.7,Better_Zone_1,56.7,16.5
2016-08-29,17.1,Better_Zone_1,56.7,16.5
2016-08-30,16.2,Better_Zone_1,56.7,16.5
2016-08-31,17.8,Better_Zone_1,56.7,16.5
2016-09-01,17.7,Better_Zone_1,56.7,16.5
2016-09-02,16.5,Better_Zone_1,56.7,16.5
2016-09-03,16.8,Better_Zone_1,56.7,16.5
2016-09-04,15.7,Better_Zone_1,56.7,16.5
2016-09-05,15.1,Better_Zone_1,56.7,16.5
2016-09-06,16.1,Better_Zone_1,56.7,16.5
2016-09-07,18.0,Better_Zone_1,56.7,16.5
2016-09-08,18.2,Better_Zone_1,56.7,16.5
2016-09-09,17.3,Better_Zone_1,56.7,16.5
2016-09-10,17.3,Better_Zone_1,56.7,16.5
2016-09-11,18.0,Better_Zone_1,56.7,16.5
2016-09-12,16.2,Better_Zone_1,56.7,16.5
2016-09-13,17.0,Better_Zone_1,56.7,16.5
2016-09-14,17.5,Better_Zone_1,56.7,16.5
