date,temp_celsius,location,latitude,longitude
2016-01-01,1.4,Better_Zone_2,57.2,17.0
2016-01-02,-2.7,Better_Zone_2,57.2,17.0
2016-01-03,-2.8,Better_Zone_2,57.2,17.0
2016-01-04,-1.2,Better_Zone_2,57.2,17.0
2016-01-05,-2.2,Better_Zone_2,57.2,17.0
2016-01-06,-2.8,Better_Zone_2,57.2,17.0
2016-01-07,-2.4,Better_Zone_2,57.2,17.0
2016-01-08,-2.5,Better_Zone_2,57.2,17.0
2016-01-09,-1.4,Better_Zone_2,57.2,17.0
2016-01-10,2.4,Better_Zone_2,57.2,17.0
2016-01-11,3.5,Better_Zone_2,57.2,17.0
2016-01-12,0.7,Better_Zone_2,57.2,17.0
2016-01-13,-3.5,Better_Zone_2,57.2,17.0
2016-01-14,-7.1,Better_Zone_2,57.2,17.0
2016-01-15,-5.5,Better_Zone_2,57.2,17.0
2016-01-16,-5.9,Better_Zone_2,57.2,17.0
2016-01-17,-5.9,Better_Zone_2,57.2,17.0
2016-01-18,-3.4,Better_Zone_2,57.2,17.0
2016-01-19,-0.6,Better_Zone_2,57.2,17.0
2016-01-20,-4.0,Better_Zone_2,57.2,17.0
2016-01-21,-4.5,Better_Zone_2,57.2,17.0
2016-01-22,-5.5,Better_Zone_2,57.2,17.0
2016-01-23,-0.1,Better_Zone_2,57.2,17.0
2016-01-24,1.4,Better_Zone_2,57.2,17.0
2016-01-25,2.3,Better_Zone_2,57.2,17.0
2016-01-26,4.6,Better_Zone_2,57.2,17.0
2016-01-27,6.5,Better_Zone_2,57.2,17.0
2016-01-28,5.4,Better_Zone_2,57.2,17.0
2016-01-29,4.8,Better_Zone_2,57.2,17.0
2016-01-30,4.9,Better_Zone_2,57.2,17.0
2016-01-31,2.6,Better_Zone_2,57.2,17.0
2016-02-01,2.3,Better_Zone_2,57.2,17.0
2016-02-02,5.3,Better_Zone_2,57.2,17.0
2016-02-03,3.4,Better_Zone_2,57.2,17.0
2016-02-04,1.4,Better_Zone_2,57.2,17.0
2016-02-05,1.1,Better_Zone_2,57.2,17.0
2016-02-06,3.8,Better_Zone_2,57.2,17.0
2016-02-07,4.6,Better_Zone_2,57.2,17.0
2016-02-08,4.7,Better_Zone_2,57.2,17.0
2016-02-09,4.5,Better_Zone_2,57.2,17.0
2016-02-10,3.9,Better_Zone_2,57.2,17.0
2016-02-11,2.2,Better_Zone_2,57.2,17.0
2016-02-12,0.4,Better_Zone_2,57.2,17.0
2016-02-13,0.6,Better_Zone_2,57.2,17.0
2016-02-14,1.3,Better_Zone_2,57.2,17.0
2016-02-15,-0.5,Better_Zone_2,57.2,17.0
2016-02-16,-0.5,Better_Zone_2,57.2,17.0
2016-02-17,0.3,Better_Zone_2,57.2,17.0
2016-02-18,2.0,Better_Zone_2,57.2,17.0
2016-02-19,1.3,Better_Zone_2,57.2,17.0
2016-02-20,1.4,Better_Zone_2,57.2,17.0
2016-02-21,3.2,Better_Zone_2,57.2,17.0
2016-02-22,2.8,Better_Zone_2,57.2,17.0
2016-02-23,2.5,Better_Zone_2,57.2,17.0
